title,company,location,salary,summary
Biostatistician,Johns Hopkins University,Baltimore,60525.5,Implements appropriate methodologic procedures for statistical analysis including exploratory data analyses (e.g....
"Research Space Scientist, AST, Planetary Studies",National Aeronautics and Space Administration,Baltimore,120212.5,"Analysis of altimetry data and complex radio data (e.g., VLBI, high-low and low-low satellite-to-satellite tracking) for orbit determination;..."
Research Analyst,Howard Community College,Baltimore,46332,"Perform data entry, document scanning and data conversion. Maintain data dictionary to standardize variable names for data files, keep track of data definitions..."
Research Analyst/Study Coordinator,Johns Hopkins University,Baltimore,52136.5,"Summarize and analyze BASIS data. Data management and research analysis activities will include. And serotype, final outcome and follow-up data...."
Surgical Training Center Coordinator,Johns Hopkins University,Baltimore,50148.5,"Responsible for operation of video equipment, data collection, and. It has collaborated with Johns Hopkins computer scientists to better assess surgical..."
PeopleSoft Developer with TS/SCI FSP Required,Fawkes IDM,Baltimore,120000,"An analytics and data solutions company that delivers customized solutions to clients, is seeking a qualified Data Scientist with TS/SCI clearance to join their..."
Principal Environmental Engineer,WSSC,Baltimore,95396.5,"Ability to plan and oversee the work of professional engineers and scientists; Supports and works with scientists, engineers and other employees in the study..."
Sr. Biostatistician,Johns Hopkins University,Baltimore,70282.5,"Formation of statistical designs for studies, drafting statistical analysis plans, interfacing with database designers to ensure that the data collected can..."
Research Service Analyst,Johns Hopkins University,Baltimore,49165,"This Research Service Analyst (RSA) will create and review sponsored budgets, budget justifications, and other administrative data for submission to appropriate..."
Sr. Financial Analyst,Johns Hopkins University,Baltimore,68295.5,Analyze complex financial data and extracts and define relevant information; Perform complex cost and financial analysis of data reported in the various...
Risk Management Operations Research Analyst - Principle (ID#...,"The Staffing Resource Group, Inc",Baltimore,115000,"Risk Management Framework Principle Research Analyst (ID#015) SRG Government Services (SRG) is a leading provider of information technology, training,"
Sr. Research Service Analyst,Johns Hopkins University,Baltimore,57329,"Use various general accounting and software applications, such as spreadsheets, relational databases, cost accounting systems, statistical packages, and..."
Cryptologic Computer Scientist - Computer Development Progra...,National Security Agency,Baltimore,77025,"Create computer algorithms, data models, and protocols. Vital to our success will be a core of Computer Scientists...."
Machine Learning Engineer,Elevano,New York,160000,Our Client is looking for a Machine Learning Engineer that is looking to change the way we shop. This is not your typical startup and you will be asked to
Research Associate,University of Texas at Dallas,Dallas,55000,The successful candidates will work collaboratively with a team of engineers and scientists to develop biomedical devices for eventual deployment as clinical...
SENIOR RESEARCH ANALYST,Denver Public Schools,Denver,69673,"Create, maintain and manage data views (end user view design). Collaborate with Digital Doors portal managers on student outcome data reports design and..."
Staff Scientist - Pediatrics Critical Care,Washington University in St. Louis,St. Louis,53892.5,"Ability to analyze and interpret statistical data and to communicate data in a clear, concise manner. Performs complex statistical analysis of data collected..."
Mathematicians - Entry/Mid-Level,National Security Agency,Baltimore,77025,"These include, but are not limited to cryptography, data mining, temporal analysis and forecasting, signals analysis, speech and text processing, coding theory,..."
Mathematical Statisticians - Entry/Mid-Level,National Security Agency,Baltimore,77025,"These include, but are not limited to, problems in cryptography, data mining, predictive and explanatory modeling, temporal analysis and forecasting, signals..."
"Environmental Analyst, Bureau of Environmental Surveillance...",DEPT OF HEALTH/MENTAL HYGIENE,New York,62693,Completing data checks and documentation for routine and custom data reports. Working with analytics team members to improve data quality and report tracking....
Senior Software Engineer/Data Scientist,CyberCoders,Pittsburgh,130000,"Spatial, time-series, unstructured natural language) Developing real-time data analysis algorithms to recognize patterns and outliers in real-world building..."
Data Scientist Lead,"Cloudleaf, Inc",Silicon Valley,225000,"Experience with domain data modeling using Cassandra and Graph databases. Analyze time series data streams for anomaly detection, process mining with associated..."
"Associate Director, Clinical Scientist",Shire,Silicon Valley,159250,"Associate Director, Clinical Scientist. Baxalta US Inc., a Shire Company, is seeking a Associate Director, Clinical Scientist with the following duties:...."
Lead Software Engineer - Cloud and Machine Learning,Genial Technology,Silicon Valley,125000,"They also fix issues like journal entry errors, missing data and inconsistent data format. No specific assistance for accounting data management...."
Drupal Developer in the Earth Science Project Office at NASA...,Bay Area Environmental Research Institute,Silicon Valley,82500,You must be able to provide user support to a diverse customer base (from scientists to technicians). Our websites leverage a combination of custom and...
IT SPECIALIST (INFOSEC),Department of the Navy,New Orleans,98688,"Ability to use data from a wide variety of. From pipefitters to accountants, scientists to engineers, doctors to nurses-the careers and opportunities to make a..."
Medical Technologist/Clinical Laboratory Scientist/Alternate...,Department of Veterans Affairs - Agency Wide,New Orleans,60434,"Skilled in informatics, laboratory data flow and the understanding of laboratory processes. Performs a broad range of laboratory procedures including all..."
Medical Technologist/CLS/(Part-time)/Alternate Tours:Evening...,Department of Veterans Affairs - Agency Wide,New Orleans,60434,"Skilled in informatics, laboratory data flow and the understanding of laboratory processes. Performs a broad range of laboratory procedures including all..."
Market Research Analyst,"ECL & Associates, Inc",Jacksonville,32500,"Collaborate with data engineers to aggregate, analyze, and validate data. Leverage data to build models, deliver context and insight for a growing industry...."
Research Scientist,Ohio State University Medical Center,Columbus,65000,"Extracts, compiles, analyzes and evaluates raw data to establish relevance to problems being evaluated; Research Scientist to participate in the development and..."
Senior Research Statistician,Ohio State University Medical Center,Columbus,78500,"Identifies or develops new statistical, analytical and data collection methods which may require programming of computer-intensive statistical and data methods..."
Forensic Scientist - Chemistry,City Of Indianapolis and Marion County,Indianapolis,57375,"Etc. Reviews statistical data and ensures compliance with appropriate scientific, legal and government regulations...."
Medical Technologist (Microbiology),Department of Veterans Affairs,Indianapolis,57623.5,"Correlates quantitative data with patient data (i.e., history, medications) to verify results. Evaluates the validity of data in relation to the test system and..."
Process Scientist,Apex Life Sciences,Indianapolis,80000,Interpretation of mass-spectral data. Independent data based decision making. Acquiring and interpreting appropriate physical data to define purity of...
Public Health Laboratory Manager,City of El Paso,El Paso,66691,"Medical Technologist (MT), Medical Laboratory Scientist (MLS), or Clinical Laboratory Scientist (CLS). Registration as a Medical Technologist or Medical..."
Genetic/Molecular Technologist,Ovation Fertility,Henderson,67500,NGS benchwork and data processing. Have appropriate certification by an accrediting authority and obtain a State of Nevada testing personnel license within 6...
Data Scientist,Agile Enterprise Solutions Inc,Las Vegas,140000,Client is looking for a Data Scientist that has a deep understanding of big data and will enable big data analytical solutions for Client’s mines....
Chief Operating Officer,Sable Systems International,Las Vegas,137500,"Effective presentation of numerical data as it relates to SSI’s performance against established goals.11. Our integrated platforms include instrumentation,..."
Analytics Data Scientist,Keeper Security,Sacramento,112500,"We are looking for an accomplished data scientist to lead and grow Keeper’s statistical analysis capabilities. You’ll design, build and execute data studies and..."
Institutional Research Analyst,California Northstate University,Sacramento,60000,"Collect, interpret, analyze data and report on findings·. Maintain institutional research data files and section of database·...."
Clinical Genetics Laboratory Supervisor,Novogene Corporation Inc.,Sacramento,75000,Successful candidates must currently be licensed through the State of California as a Clinical Genetics Molecular Biologist Scientist (CGMBS)....
Advanced Simulation Specialist I,University of Nebraska Medical Center,Omaha,51900,"Physicians, nurses, military, faculty, research scientists, etc.). This position will also support faculty and staff presentation and publications by linking..."
"Laboratory Manager, Pulmonary and Endothelial Research (Phoe...",University of Arizona,Tucson,70000,"Carry out laboratory processing of samples, including data and sample tracking, inventory and shipments. Report results through the preparation of publications,..."
Postdoctoral Research Associate I,University of Arizona,Tucson,47659,"Experience with high-throughput sequencing data generation and analysis. The laboratory generates, analyzes, and integrates massively parallel high-throughput..."
"Research Analyst, Data",University of Arizona,Tucson,52500,"Data extraction, transformation, data integrity, database design and planning (e.g. Create and manage databases for studies including setting up database and..."
MANAGEMENT/PROGRAM ANALYST,Department of the Navy,Tucson,105832.5,"Develop data required for use in the management and. From pipefitters to accountants, scientists to engineers, doctors to nurses-the careers and opportunities..."
Research Administrator (Multiple Positions),University of Arizona,Tucson,57000,"The Observatory, driven by a group of world renowned faculty and scientists, covers a diverse range of astronomical subjects...."
"Research Intern, CTS Program (Multiple Positions) (Phoenix,...",University of Arizona,Tucson,27000,"Perform experiments that may include behavioral, cellular, immunological, microbiological, molecular, physiological and/or virological assays, or data analytics..."
"Coordinator, Research Administration (Phoenix, AZ)",University of Arizona,Tucson,49500,Audit data for accuracy. Review and complete data entry to ensure compliance in progress reports and biosketches....
"Clinical/Research Nurse, OB/GYN (Phoenix, AZ)",University of Arizona,Tucson,70000,Knowledge of data management techniques. Document medical data in patient record. Develop flowsheets and forms needed to capture specific protocol required data...
Associate Research Scientist (Part Time),University of Arizona,Tucson,33320,Facilitate the preparation of grants including the generation and analysis of preliminary data. Additional duties include management of general laboratory...
"Clinical Research Coordinator, Senior (Multiple Positions)(P...",University of Arizona,Tucson,53750,"Create case report forms (CRFs) in consultation with other team members, as needed, using existing study data information to promote efficient data collection..."
"Research Specialist, Pulmonary and Endothelial Research Labo...",University of Arizona,Tucson,36984,Creates and manages databases for studies which includes setting up database and associated data entry programs and retrieving data from database for purposes...
"Accountant, Senior (Phoenix, AZ)",University of Arizona,Tucson,45600,Adjusts to changing needs of university operations or need to provide data or routine reports. Recommends alternatives to management when accounting data...
"Accounting Manager (Phoenix, Arizona)",University of Arizona,Tucson,61448,"Interprets various accounting data, analyzes reports and recommends and/or initiates actions to be taken. The College inspires and trains individuals to become..."
"Research Specialist, (Data Analyst and Faculty Program Assis...",University of Arizona,Tucson,36984,Creates and manages databases for studies which includes setting up database and associated data entry programs and retrieving data from database for purposes...
"Research Nurse, Senior",University of Arizona,Tucson,58522,Knowledge of data management techniques. Complete case report forms for each study participant and document medical data in patient record....
Data Scientist,Carrington Garrett Executive Search,Los Angeles,157500,"Experience creating preprocessors and exploratory data analysis. Strong knowledge of Artificial Intelligence (AI) Frameworks, statistics and data mining..."
Programmer Analyst II,USC,Los Angeles,73995.5,"Data sets may include high-dimensional multi-omic data, time series from live cell microscopy, and complex clinical data from electronic medical records...."
Data Scientist,Workbridge Associates,Los Angeles,120000,A well-established company in Orange County that has been around for over 100 years is looking for a Data Scientist to add to their team....
Operations Research Analyst (EHA-ACQ-DAWDF),Department of the Air Force,Denver,46038,Ability to develop and utilize data collection techniquesand to analyze data. Participates with senior analysts in the preparation and maintenance of...
Data Statistical Analyst/(data scientist),Source Select Group,Tampa,90000,"Statistical data analysis:. Candidates applying should have experience with large data sets performing cleansing, formatting and creation...."
Data Scientist,"Misource, Inc.",Tampa,99000,"6+ years of experience in data scientist, statistician or comparable quantitative position Required. Other Database Query construction Intermediate Required..."
Biological Scientist - Allergy,University of South Florida,Tampa,31000,Maintains project data bases. 5033 / Biological Scientist - Time Limited. Performs analysis of data using statistical software. Number/Name:....
Data Engineer,University of South Florida,Tampa,65000,"As a part of the Data Engineering team, the Data Engineer’s efforts will span the data lifecycle with an emphasis on ETL, warehousing, reporting, cleaning, and..."
Sr. Data Engineer,University of South Florida,Tampa,85000,"Data Engineer’s efforts will span the data lifecycle with an emphasis on ETL, warehousing, reporting, cleaning, and sharing of data...."
BUSINESS AND INDUSTRY,Department of the Navy,Irvine,48180.5,"Researching and organizing technical data related to contracts. Athering technical data related to contracts, production, purchasing/procurement activities, or..."
Research Analyst - Equity,Coast Community College District,Irvine,70769,"Collect data and develop procedures to organize, code, and enter data. Prepare data for publication. Collection and coding of data...."
INTERDISCIPLINARY ENGINEER,Department of the Navy,Irvine,91866,"Collecting and analyzing engineering data to solve problems, develop reports,. From pipefitters to accountants, scientists to engineers, doctors to nurses-the..."
COMPUTER SCIENTIST,Department of the Navy,Irvine,91866,"Typical functions performed by Computer Scientists include:. Researching, interpreting, and carrying out computer scientist assignments...."
"Principal, Decision Sciences","Foothills Consulting Group, Inc.",Irvine,160000,"Ability to define problems, collects data, establishes facts, and draw valid conclusions. Principal Decision Scientist is responsible for leading advanced..."
Data Scientist,CyberCoders,Irvine,147500,Machine Learning- Big Data- Java- Data Mining- Information Retrieval Libraries:. The key here is to have an in-depth background and be passionate about...
Environmental Specialist (Entry level),JE Group of Companies,Irvine,42500,Conducting site visits at client facilities to collect and review data for evaluations and reports. JECSI is a mid-sized company of environmental consultants...
Research Analyst (AA/S EI) / Research & Sponsored Programs,California State University San Bernardino,Irvine,61338,"Overview Employment Status: Full-time, probationary ""exempt"" position. Work Schedule: To be determined. First Review Deadline: This position will remain"
Environmental Specialist (Mid level),JE Group of Companies,Irvine,60000,Conducting site visits at client facilities to collect and review data for evaluations and reports. JECSI is a mid-sized company of environmental consultants...
Clinical Laboratory Scientist II,San Bernardino County,Irvine,94245,Applicants with one year of experience as a Clinical Laboratory Scientist are encouraged to apply for the Clinical Laboratory Scientist II....
Logistics Management Specialist,Department of the Navy,Huntsville,87735.5,Logistics planning data to senior logistics personnel and other support team. And providing logistics planning data to senior logistics personnel and other....
Database Marketing Statistician,Viking Cruises,Thousand Oaks,120000,"Successful candidate must be able to apply best practices in data preparation and data cleansing from source data, create predictive and descriptive derived..."
Log Book Research and Records Analyst,Avex,Thousand Oaks,60000,"Company:  Avex, Inc. Address:  205 Durley Avenue, Suite A Camarillo, CA 93010 Web address:  www.newavex.com Company Info:  Avex is the largest and"
GMP Data Scienist/Business Integration Liaison,AppleOne,Thousand Oaks,95000,This GMP Data Scientist/Business Integration Liaison Position Features:. Immediate need for GMP Data Scientist/Business Integration Liaison seeking great...
Physical Scientist,Department of the Air Force,Anchorage,93958.5,"And generating reports based on analytical data produced. At this level, physical scientists have the ability to independently perform scientific work of..."
Psychologist,"Veterans Affairs, Veterans Health Administration",Anchorage,94894.5,"Ability to perform basic research tasks of scholarship and research execution within the context of an established research team, including research participant..."
"Director, Custom Research / Marketing Scientist",The NPD Group,Raleigh,100000,"The Custom Research Director/Marketing Scientist, Analytic Solutions*. Writing requests for data tabulations (banners, stubs, table layout)...."
Technical Service Engineer,Etech Hi Inc.,Buffalo,55000,"Perform data analysis and create reports based on findings. Process engineer, chemical engineer, engineer, project engineer, development engineer, engineering..."
Postdoctoral Associate,University at Buffalo,Buffalo,47476,"Coordinate collaborations with industrial scientists within an industry funded research program. Build a knowledge base of cellular stimulus-response data,..."
Research and Analytics Manager,S.C. International,Madison,160000,"Growing analytics department, housed within a very stable insurance company, seeking talent for a seasoned Data Scientist opening...."
Insurance Data Scientist and Manager #76741,Ezra Penland Actuarial Recruitment,Madison,155000,"Manage data science team. For Position 76741, a Midwest USA property and casualty insurer seeks an Insurance Data Scientist and Manager...."
Data Science Manager,Victor Noble Associates,Madison,158000,Managing a team of data scientists:. Demonstrated experience communicating business implications of complex data relationships and results of statistical models...
"Manager, Data Science",Smith Hanley Associates,Madison,155000,"Manager, Data Science. Leading company in Madison, WI is seeking a Manager, Data Science to be both hands on with statistical modeling and lead a team of data..."
Data Science Manager,Relevante Inc,Madison,196000,"2+ years of experience managing a team of data scientists. Monitors industry trends in analytics and investigates new concepts, ideas, and data sources...."
Biological Science Tecnician (TERM-JJ),Department of the Interior,Madison,42868.5,Experience with laboratory data collection and record keeping techniques; Utilize LIMS to enter data and to track histological specimens....
"Data Science & Advanced Analytics, Director",Analytic Recruiting,Madison,200000,"Analytics, Customer, Marketing, Statistics, Machine Learning, R, Python, SAS, Data Scientist, Hadoop. From idea conceptualization, crafting the methodology, to..."
"Statistician, Test Design",Analytic Recruiting,Madison,108500,Organization in Wisconsin seeks a Statistician to cultivate a test and learn environment. Background: Organization in Wisconsin seeks a Statistician to
Statistical Analyst,Smith Hanley Associates,Madison,65000,"Gather data, perform integrity validation, and document processes. Smith Hanley Associates...."
Data Scientist,Analytic Recruiting,Madison,135500,Organization in Wisconsin seeks a Data Scientist. Data Scientist will be using but not limited to the following tools:....
Statistical Modeling Senior Analyst,S.C. International,Madison,104000,Large insurance client is seeking Statistical/Modeling talent. Currently 2 roles available depending on experience level. Candidates should have professional
"Research Computer Scientist, AST - Computer Research and Dev...",National Aeronautics and Space Administration,Norfolk,77784.5,"For Data Analysis, Modeling and Theoretical Simulation Techniques:. Linear algebra, theory of equations, differential equations, mathematical statistics (if six..."
Forensic Scientist - Latent Prints - CF379,Dept of Forensic Science,Norfolk,68350,"The Latent Print Forensic Scientist will also testify as an expert witness. The Latent Print Forensic Scientist will document, evaluate, analyze and preserve..."
Forensic Scientist,Dept of Forensic Science (778),Norfolk,68350,"The Latent Print Forensic Scientist will also testify as an expert witness. The Latent Print Forensic Scientist will document, evaluate, analyze and preserve..."
"Research Computer Engineer, AST, Data Systems",National Aeronautics and Space Administration,Norfolk,91864,"For Data Analysis, Modeling and Theoretical Simulation Techniques:. Develop data-driven, machine learning approaches to experimental/simulation data analytics;..."
Forensic Scientist - Division of Technical Services - CF902,Dept of Forensic Science,Richmond,70399.5,Â?¢ Advanced degree in molecular biology or related discipline â?¢ Experience working with forensic samples from unidentified human remains â?¢ Experience...
Institutional Research Analyst,Richard Bland College,Richmond,52500,"Â?¢ Knowledge of data collection, cleaning, and management. Â?¢ Ability to work with internal and external constituents to identify and clarify data requests,..."
Senior Scientist (Food Microbiology),Dept of General Services,Richmond,54649,"Ability to record, interpret and document laboratory findings and validation data; As a Senior Scientist, this position will also prioritize daily workflow of..."
Forensic Scientist,Dept of Forensic Science (778),Richmond,70399.5,"If a fully qualified Forensic Scientist candidate cannot be found, the position will be filled as a Forensic Scientist Trainee at a salary of $44,472...."
Laboratory Quality Assurance Officer (Senior Scientist),Dept of General Services,Richmond,54649,"This position will provide consultation and guidance to DCLS Immunology, Virology, Microbial Reference, Molecular Detection and Characterization, Newborn..."
Institutional Research Analyst,Richard Bland College (241),Richmond,52500,"Knowledge of data collection, cleaning, and management. Ability to work with internal and external constituents to identify and clarify data requests, select..."
Senior Scientist,Dept of General Services (194),Richmond,54649,"Ability to record, interpret and document laboratory findings and validation data; As a Senior Scientist, this position will also prioritize daily workflow of..."
"Senior Analyst, Modeling",Smith Hanley Associates,Richmond,82500,"Data Scientist Position Description:. 3+ years of experience working as a Data Scientist, Statistician, or related position...."
"Geologist, GS-1350-11 (PR-DEU)",Department of the Interior,Tacoma,69240,"Plan and carry out map representation by making deductions from intricate and variable data, and by adapting the presentation and analysis tools to correct..."
Data Scientist,MW Partners LLC,Tacoma,112500,MW Partners is seeking a Data Scientist for one of our Public Sector clients to join their newly created team for implementation and utilization of data...
EDUCATOR ASSESSMENT POLICY & DATA ANALYSIS PROGRAM MANAGER,State of Washington,Tacoma,76000,"Strong data collection and analysis skills. Program Manager, Educator Assessment Policy and Data Analysis. Evaluate the quality of assessment data submitted by..."
Labor Market Data Scientist (WMS2 2017-0...,Employment Security Department,Tacoma,77500,Direct and oversee labor market data projects. Demonstrated ability to manage research and data projects. The incumbent provides technical support to WITS staff...
Labor Market Data Scientist (WMS2 2017-06353) Lacey,State of Washington,Tacoma,77500,Direct and oversee labor market data projects. Demonstrated ability to manage research and data projects. The incumbent provides technical support to WITS staff...
Aquatic Pesticide Permitting Specialist (Environmental Speci...,State of Washington,Tacoma,62556,"The ability to interact with scientists, and communicate complicated concepts to a wide range of audiences. Three or more years of experience that demonstrates..."
Small Source Registration and Emission Inventory Specialist...,State of Washington,Tacoma,61014,"Citizens and scientists use data from this system to make health-based decisions, determine when prescribed burns can occur, characterize the ""State of the Air""..."
Data Scientist,MW Partners LLC,Tacoma,112500,MW Partners is seeking a Data Scientist for one of our Public Sector clients to join their newly created team for implementation and utilization of data...
Water Quality Lead for Aquatic Toxicity Assessments (Environ...,State of Washington,Tacoma,62556,Provides analysis and interpretation of monitoring data as needed. Independently evaluates available data and recommends specific toxicity test methods when...
Data Scientist,CyberCoders,Phoenix,110000,"Data Scientist If you are a Data Scientist with experience, please read on!With headquarters in Troy, Michigan, we are an innovative and forward thinking..."
Staff Scientist -- ADaPT Specialist,NorthStar Contracting Group,Tallahassee,40000,"We employ highly skilled professionals who include engineers, scientists, and technicians who are eager, energetic, positive and client focused...."
Data Analysis Report Writer #2658,"Apalachee Center, Inc.",Tallahassee,50000,Perform statistical data analysis and interpret data results to distinguish patterns and recognize trends. SQL tuning and data profiling....
CLINICAL LABORATORY SCIENTIST (PUB HEALTH MICROBIOLOGY),The State of Rhode Island,Providence,55991.5,To utilize and maintain a data management system incorporating the latest computer technology. Must meet the requirements for licensure as a Clinical Laboratory...
CLINICAL LABORATORY SCIENTIST (PUB HEALT...,RI Department of Administration,Providence,55991.5,To utilize and maintain a data management system incorporating the latest computer technology. Must meet the requirements for licensure as a Clinical Laboratory...
Software Data Scientist,CyberCoders,Boston,120000,"Software Data Scientist Data Scientists with strong software development experience, read on!Top Reasons to Work with Us- We are a rising data science..."
Air Quality/GHG Consultant,"Illingworth & Rodkin, Inc.",San Francisco,65000,This is a unique opportunity to join a group of highly qualified scientists and engineers working on technically challenging and important projects located...
Senior Assessment Data Analyst,DEPARTMENT OF FINANCE,New York,75557.5,"Experience using relational databases, data mining and extracting data using SQL. Ensure statistical data analyses and data summary report quality by..."
Data Analyst/Modeler,DEPARTMENT OF FINANCE,New York,75557.5,"Strong programming, data analysis, statistical sampling or data mining experience. Perform research and data analysis related to Modeling, Screening and Audit..."
CITY RESEARCH SCIENTIST 1,DEPT OF ENVIRONMENT PROTECTION,New York,65977,"Collect asset condition data and costs of various management strategies form other available data sources; Compile asset data such as operation, maintenance,..."
Health Scientist,Centers for Disease Control and Prevention,New York,120186,Analyze scientific investigation data. The Centers for Disease Control and Prevention (CDC) is the agency Americans trust with their lives....
Predictive Risk Analyst,ADMIN FOR CHILDREN'S SVCS,New York,77035,"Critical to this position is strong analytical thinking, advanced knowledge of data science and statistics. Two years as a City Research Scientist Level I can..."
Senior Data Engineer,Enterprise Select,New York,140000,"Ensure data pipeline provides clean organized, aggregated data into databases for use by Data Scientists. Understanding of data structures and algorithms...."
Overdose Prevention Coordinator,DEPT. OF HOMELESS SERVICES,New York,79249.5,"Collect and analyze OD prevention training data, naloxone usage data and overdose reversal reports,. Understanding of and ability to plan and perform data..."
Research Scientist,Stony Brook University,New York,67500,Experience with advanced data analysis software. Stony Brook University has a Research Scientist in the department of Neurobiology & Behavior....
Research Analyst II,Research Foundation of The City University of New...,New York,65000,Work closely with REPS data management staff to maintain project-related data sources. Familiarity with matching data sets and manipulating large amounts of...
Associate UX Researcher,Key Lime Interactive,New York,50000,Analyzing qualitative & quantitative data. Persuasive communication that is grounded in data. Objective methods (setting up and analyzing data such as Eye...
Environmental Analyst,DEPT OF HEALTH/MENTAL HYGIENE,New York,62096.5,Completing data checks and documentation for routine and custom data reports; Contributing as needed to additional analyses of environment and health data...
"Evaluation Specialist, Disease Control Administration",DEPT OF HEALTH/MENTAL HYGIENE,New York,78790.5,"-Perform statistical analyses of large, complex data sets, surveillance and epidemiological data, and other relevant data sets...."
"Quantitative Analyst, AVP",Selby Jennings,New York,90000,"My client, a tier one investment bank, is looking to add an experienced Quantitative Analyst to their Quantitative Counterparty Risk team. The ideal candidate"
Data Scientist - Neural Networks,Geode Executive Search,New York,130000,A well-known tech company in New York is looking to hire a Data Scientist into a group of scientists that develop search algorithms for image media....
"Data Analyst, Bureau of Primary Care Information Project",DEPT OF HEALTH/MENTAL HYGIENE,New York,75557.5,"O data visualizations of new data sources; Data management, integrating and analyzing different data sources...."
Research Scientist 1 Or Research Scientist 2 (Epidemiology)...,"Health, Department of",New York,63030,"Demonstrated proficiency in the collection, management, linkage, and analysis of environmental and human health data;..."
Senior Analyst,ADMIN FOR CHILDREN'S SVCS,New York,77035,Perform analytic tasks using individual/case level data and aggregate data. Proficiency using ArcGIS and data visualization software....
Director of Data Science (Startup),Averity,New York,170000,This is a great opportunity for an experienced data scientist to join one of the most exciting and cutting-edge startups in New York....
Research Scientist 2,"Children & Family Services, Office of",New York,77318,"Extracting, preparing, and analyzing data from administrative databases to respond to programmatic data requests and federal reporting requirements;..."
Child Welfare Analyst,ADMIN FOR CHILDREN'S SVCS,New York,76941.5,Write SQL to query data from Oracle databases. Coordinate and perform data matches with datasets from external agencies....
Bioinformatics Analyst,"Envisagenics, Inc.",New York,60000,"To work with Envisagenics data engineers and bioinformatics scientists to develop, maintain and analyze the company’s proprietary database...."
Software Engineer,"Envisagenics, Inc.",New York,90000,"Data management with NoSQL data stores such as MongoDB, Cassandra, Riak. To work with Envisagenics data engineers and bioinformatics scientists to enhance..."
Senior Research Analyst,OFFICE OF THE COMPTROLLER,New York,75000,Exceptional writing skills and ability to perform complex data and/or legal analysis; The office of Comptroller Scott M....
Data Scientists,Smith Hanley Associates,New York,110000,"2-4 years of data science experience. Translate complex data problems into business strategies. Experience in translating business questions, utilizing data and..."
"Data Analyst, Bureau of Division Management/Center for Healt...",DEPT OF HEALTH/MENTAL HYGIENE,New York,62693,O Staff training data o All-staff survey data o Core Team data o Workgroup members interviews o Administrative data o Other data collected as part of the...
Research Analyst (Job ID: 287881),NYC Department of Consumer Affairs,New York,76143,Using statistical software and data analysis tools to analyze large data sets. Two years as a City Research Scientist Level I can be substituted for the...
DATA ANALYST,HRA/DEPT OF SOCIAL SERVICES,New York,59984.5,"The Data Analyst will:. Experience with data visualization techniques. Organizations to utilize new technological resources, encourage data sharing,...."
Environmental Compliance Specialist,DEPARTMENT OF TRANSPORTATION,New York,79249.5,"Draft summaries, plans, reports, presentations, track data and maintain databases. Proficiency with GIS, strong communication skills, ability to research..."
Research Scientist 3 (Immunohematology) - 14564,"Health, Department of",New York,90247,"Experience performing the analysis of scientific data, preparing reports summarizing scientific findings, policies and procedures...."
"Provider Specialist, Bureau of HIV/AIDS Prevention and Contr...",DEPT OF HEALTH/MENTAL HYGIENE,New York,65977,"Two years as a City Research Scientist Level I can be substituted for the experience required in ""1"" and ""2"" above...."
"City Research Scientist, Bureau of Sexually Transmitted Dise...",DEPT OF HEALTH/MENTAL HYGIENE,New York,79249.5,"-Data analysis and interpretation (using STD surveillance registry, linked index patient and sex partner data [""partner services data""], and other data sources)..."
"PECO Data Analyst, Bureau of Emergency Field Operations",DEPT OF HEALTH/MENTAL HYGIENE,New York,62693,"Experience managing, cleaning, analyzing and reporting on quantitative data from multiple sources. High level or proficiency with Microsoft Excel, statistical..."
Research Associate,DEPT OF YOUTH & COMM DEV SRVS,New York,77643,Collecting and analyzing data; Assist with drafting evaluation designs and developing data collection tools;...
Democracy & Mapping Engineer,Algorithmic Districting Initiative (Non-Profit),New York,120000,We’re looking for an engineer and/or data scientist to help save our democracy. 2+ years of production engineering and/or data analysis experience....
Research Technician III Grade 23 Job #17072701,New York State Psychiatry Institute,New York,77098,"Manage and clean data as needed. Train, supervise and coordinate the work of research assistants and other junior scientists, including literature searches,..."
Policy Data Analyst,DEPARTMENT OF FINANCE,New York,75557.5,"Strong quantitative and research skills, including experience with statistical programming, data analysis, statistical sampling and data mining...."
"Data Analyst, Bureau of Immunization",DEPT OF HEALTH/MENTAL HYGIENE,New York,65977,"Review program data, assuring data quality and summarizing data on school immunization compliance for the Unit, and internal and external partners...."
Sr. Data Engineer / Developer for Machine Learning Tech Comp...,Averity,New York,155000,"Data Engineer, you will be helping design, develop and implement a big data platform for our client's healthcare practice...."
Senior Data Analyst,Venturi,New York,100000,"Senior Data Analyst ( R / EdTech / DataViz / Data Modelling ). Senior Data Analyst, R Programming, Education, Social Sciences, Junior Data Scientist, EdTech,..."
IT Support Specialist,AiCure,New York,70000,"Learn how we combine machine learning, computer vision and big data:. You'll work with scientists, engineers, designers, and medical doctors, to create..."
Senior Project Manager for AI Healthcare Company,AiCure,New York,100000,"Manage requirements for data delivery and analysis. Learn how we combine machine learning, computer vision and big data (video):...."
"VP, Data Scientist - Banking",Harnham,New York,180000,"VP, Data Scientist - Banking. Data Scientist | Predictive Models | Machine Learning | Banking. Expertise in utilizing relational databases for data storage and..."
Lead Data Engineer / Architect for Machine Learning Tech Com...,Averity,New York,207500,"As our Lead Data Engineer / Architect, you will be responsible for building out a big data platform for our client's healthcare practice...."
